Vehicle_Brand,Vehicle_Model,Year_of_Manufacture,Mileage,Type_of_Service,Service_Date,scheduled,reliability
Mercedes-Benz,E-Class,2015,4771,Engine Diagnostics/Repair/Replacement,2019-02-07,1,1
Mercedes-Benz,GLC,2013,5870,Transmission Diagnostics/Repair/Replacement,2015-12-09,1,1
Toyota,Corolla,2020,2277,Multiple Unscheduled Repairs,2023-08-01,1,0
Hyundai,Tucson,2016,4398,Cooling System Repairs,2016-10-22,0,1
BMW,X3,2017,3625,Wear-and-Tear Replacements,2020-04-17,1,0
Hyundai,Elantra,2018,3151,Engine Diagnostics/Repair/Replacement,2019-02-16,1,0
Mercedes-Benz,GLC,2010,7138,Suspension System Repairs,2021-07-05,1,0
Ford,Explorer,2010,7361,Cooling System Repairs,2016-07-29,1,1
Chevrolet,Traverse,2013,5751,Suspension System Repairs,2018-12-20,1,0
BMW,5 Series,2017,3653,Brake System Repairs,2023-02-17,1,1
Volkswagen,Atlas,2015,4678,Wear-and-Tear Replacements,2018-09-08,0,0
Toyota,Camry,2013,5858,Engine Diagnostics/Repair/Replacement,2014-03-26,1,1
Audi,A4,2011,6847,Wear-and-Tear Replacements,2017-01-18,0,0
Toyota,Camry,2012,6012,Engine Diagnostics/Repair/Replacement,2013-04-06,1,1
Ford,Explorer,2013,5776,Wear-and-Tear Replacements,2018-03-11,1,1
Mercedes-Benz,GLC,2010,7065,Cooling System Repairs,2015-10-07,0,1
Nissan,Pathfinder,2010,7087,Electrical System Repairs,2020-10-10,0,1
BMW,X5,2017,3667,Transmission Diagnostics/Repair/Replacement,2017-12-07,1,1
Toyota,Rav4,2018,3059,Wear-and-Tear Replacements,2019-02-12,0,1
Ford,Escape,2013,5967,Routine Maintenance Services,2014-07-09,1,0
Toyota,Rav4,2015,4745,Brake System Repairs,2016-01-21,0,1
Chevrolet,Traverse,2016,4041,Cooling System Repairs,2021-08-21,0,1
Ford,Explorer,2016,4248,Brake System Repairs,2019-08-18,0,1
Volkswagen,Jetta,2011,6774,Routine Maintenance Services,2012-07-17,0,1
Nissan,Rogue,2015,4946,Routine Maintenance Services,2018-12-14,0,1
Toyota,Rav4,2011,6904,Transmission Diagnostics/Repair/Replacement,2021-02-05,1,1
Volkswagen,Tiguan,2014,5262,Transmission Diagnostics/Repair/Replacement,2014-07-07,0,1
Hyundai,Tucson,2013,5973,Transmission Diagnostics/Repair/Replacement,2022-08-05,0,0
Chevrolet,Traverse,2013,5860,Wear-and-Tear Replacements,2023-08-11,0,1
Hyundai,Tucson,2011,6806,Cooling System Repairs,2016-09-17,0,0
Audi,Q5,2015,4923,Engine Diagnostics/Repair/Replacement,2020-11-12,1,0
Chevrolet,Silverado,2017,3590,Transmission Diagnostics/Repair/Replacement,2017-04-12,1,0
Toyota,Prius,2018,3223,Brake System Repairs,2020-06-21,1,0
Chevrolet,Silverado,2017,3855,Wear-and-Tear Replacements,2018-05-18,1,0
Ford,Escape,2017,3921,Suspension System Repairs,2019-03-23,0,0
Chevrolet,Silverado,2014,5409,Wear-and-Tear Replacements,2017-10-20,1,0
Hyundai,Elantra,2015,4506,Electrical System Repairs,2022-12-27,1,1
Toyota,Camry,2019,2542,Wear-and-Tear Replacements,2021-09-04,0,1
BMW,X3,2016,4344,Brake System Repairs,2023-02-10,0,1
Nissan,Rogue,2018,3451,Transmission Diagnostics/Repair/Replacement,2021-04-21,1,0
Nissan,Pathfinder,2010,7204,Cooling System Repairs,2018-04-06,1,0
Hyundai,Santa Fe,2020,2492,Routine Maintenance Services,2021-04-27,0,0
Ford,Escape,2017,3538,Brake System Repairs,2019-11-29,0,0
Chevrolet,Malibu,2016,4123,Cooling System Repairs,2016-05-12,1,0
Toyota,Rav4,2019,2882,Wear-and-Tear Replacements,2020-04-08,0,1
Ford,F-150,2013,5595,Transmission Diagnostics/Repair/Replacement,2013-01-30,1,1
Audi,A4,2015,4515,Cooling System Repairs,2017-08-25,0,0
Volkswagen,Jetta,2013,5759,Engine Diagnostics/Repair/Replacement,2021-08-10,0,1
Chevrolet,Malibu,2012,6261,Engine Diagnostics/Repair/Replacement,2015-12-07,1,1
Audi,A6,2012,6208,Routine Maintenance Services,2012-02-15,1,0
Hyundai,Tucson,2018,3391,Transmission Diagnostics/Repair/Replacement,2018-07-25,1,0
Ford,Explorer,2014,5374,Transmission Diagnostics/Repair/Replacement,2016-07-07,1,0
Volkswagen,Tiguan,2020,2338,Multiple Unscheduled Repairs,2021-10-23,1,1
Mercedes-Benz,C-Class,2011,6651,Routine Maintenance Services,2021-03-26,0,1
Volkswagen,Tiguan,2019,2823,Wear-and-Tear Replacements,2019-05-30,0,1
Nissan,Pathfinder,2018,3198,Transmission Diagnostics/Repair/Replacement,2022-12-09,0,1
Volkswagen,Atlas,2014,5059,Routine Maintenance Services,2015-01-19,1,0
Volkswagen,Jetta,2015,4696,Brake System Repairs,2021-12-21,1,1
Audi,Q5,2014,5398,Suspension System Repairs,2023-03-30,1,0
Ford,F-150,2013,5789,Cooling System Repairs,2019-11-10,1,1
Chevrolet,Silverado,2017,3823,Suspension System Repairs,2021-03-04,1,0
Hyundai,Tucson,2011,6853,Transmission Diagnostics/Repair/Replacement,2022-02-27,0,0
BMW,3 Series,2015,4587,Suspension System Repairs,2016-07-23,1,1
Audi,Q7,2017,3624,Engine Diagnostics/Repair/Replacement,2018-11-22,0,0
Hyundai,Sonata,2017,3790,Cooling System Repairs,2019-05-05,0,1
Chevrolet,Malibu,2013,5978,Brake System Repairs,2016-11-27,0,1
Hyundai,Elantra,2019,2966,Brake System Repairs,2022-12-20,0,0
Nissan,Sentra,2018,3265,Electrical System Repairs,2020-11-09,0,1
Honda,Civic,2015,4736,Engine Diagnostics/Repair/Replacement,2022-07-13,0,1
Chevrolet,Silverado,2011,6772,Routine Maintenance Services,2023-09-27,1,0
Mercedes-Benz,GLE,2015,4952,Suspension System Repairs,2018-08-20,0,0
Audi,A6,2012,6444,Engine Diagnostics/Repair/Replacement,2018-06-15,0,0
Nissan,Sentra,2017,3524,Brake System Repairs,2023-07-01,1,0
Honda,Accord,2015,4770,Wear-and-Tear Replacements,2019-12-21,0,0
BMW,X5,2017,3883,Suspension System Repairs,2017-03-01,1,1
Toyota,Prius,2014,5071,Routine Maintenance Services,2016-01-17,0,0
Nissan,Pathfinder,2012,6438,Wear-and-Tear Replacements,2015-04-08,1,1
Audi,A6,2010,7474,Electrical System Repairs,2016-08-10,1,0
Ford,Escape,2013,5659,Wear-and-Tear Replacements,2015-07-03,1,1
Hyundai,Sonata,2012,6121,Cooling System Repairs,2012-11-10,1,1
Nissan,Sentra,2015,4931,Wear-and-Tear Replacements,2016-09-29,1,0
Chevrolet,Equinox,2020,2340,Engine Diagnostics/Repair/Replacement,2023-11-20,1,0
Audi,Q5,2019,2792,Brake System Repairs,2022-02-24,0,1
Honda,Accord,2018,3143,Transmission Diagnostics/Repair/Replacement,2021-06-24,0,1
Volkswagen,Passat,2020,2160,Suspension System Repairs,2023-08-20,0,1
Mercedes-Benz,GLC,2019,2866,Multiple Unscheduled Repairs,2021-06-29,0,1
Mercedes-Benz,GLC,2011,6685,Routine Maintenance Services,2015-09-19,0,0
Nissan,Sentra,2018,3037,Wear-and-Tear Replacements,2019-06-16,1,1
Nissan,Sentra,2012,6122,Wear-and-Tear Replacements,2019-11-29,0,0
Honda,Accord,2019,2577,Engine Diagnostics/Repair/Replacement,2023-01-06,0,0
Mercedes-Benz,GLC,2017,3795,Routine Maintenance Services,2022-12-06,1,0
Volkswagen,Jetta,2015,4990,Electrical System Repairs,2023-05-19,0,0
Volkswagen,Atlas,2012,6039,Suspension System Repairs,2019-02-07,0,1
Nissan,Rogue,2020,2223,Routine Maintenance Services,2023-03-12,1,0
Chevrolet,Traverse,2010,7007,Wear-and-Tear Replacements,2012-01-30,1,0
Volkswagen,Passat,2013,5961,Cooling System Repairs,2019-04-17,0,0
Volkswagen,Tiguan,2011,6804,Engine Diagnostics/Repair/Replacement,2011-08-09,0,1
Honda,Pilot,2012,6136,Transmission Diagnostics/Repair/Replacement,2020-04-01,0,1
Volkswagen,Passat,2020,2163,Electrical System Repairs,2023-06-25,0,1
Mercedes-Benz,E-Class,2017,3978,Engine Diagnostics/Repair/Replacement,2022-04-10,0,0
Ford,F-150,2010,7213,Transmission Diagnostics/Repair/Replacement,2019-05-16,0,1
Mercedes-Benz,GLE,2015,4718,Transmission Diagnostics/Repair/Replacement,2020-05-11,0,0
Nissan,Pathfinder,2019,2569,Routine Maintenance Services,2020-03-03,0,1
Mercedes-Benz,E-Class,2010,7181,Brake System Repairs,2018-09-20,0,1
Honda,Pilot,2020,2178,Electrical System Repairs,2020-12-03,0,0
Audi,A6,2011,6731,Electrical System Repairs,2015-02-24,1,0
Toyota,Camry,2011,6513,Electrical System Repairs,2018-09-18,1,0
Chevrolet,Traverse,2019,2957,Cooling System Repairs,2021-02-14,0,1
Nissan,Sentra,2019,2647,Transmission Diagnostics/Repair/Replacement,2021-12-09,1,0
Honda,Accord,2012,6144,Transmission Diagnostics/Repair/Replacement,2012-05-13,1,1
Nissan,Pathfinder,2010,7339,Cooling System Repairs,2022-10-09,0,0
Hyundai,Santa Fe,2019,2667,Brake System Repairs,2021-01-08,1,1
Mercedes-Benz,E-Class,2019,2594,Electrical System Repairs,2023-01-24,0,1
Audi,Q7,2015,4898,Wear-and-Tear Replacements,2023-07-03,0,0
Audi,Q5,2012,6112,Cooling System Repairs,2013-05-17,0,1
Ford,Escape,2011,6863,Routine Maintenance Services,2018-03-14,0,0
Ford,Focus,2011,6674,Wear-and-Tear Replacements,2011-01-25,1,0
Hyundai,Santa Fe,2014,5221,Engine Diagnostics/Repair/Replacement,2022-03-24,0,0
Mercedes-Benz,E-Class,2016,4137,Wear-and-Tear Replacements,2019-10-14,0,0
Hyundai,Santa Fe,2019,2941,Routine Maintenance Services,2022-03-14,1,1
BMW,X3,2010,7080,Suspension System Repairs,2019-12-25,1,1
Honda,Civic,2017,3827,Routine Maintenance Services,2020-12-30,1,1
Nissan,Altima,2010,7061,Brake System Repairs,2010-05-03,0,1
Volkswagen,Jetta,2015,4797,Brake System Repairs,2019-09-20,1,1
Volkswagen,Tiguan,2010,7199,Engine Diagnostics/Repair/Replacement,2022-01-10,1,1
Mercedes-Benz,E-Class,2013,5828,Electrical System Repairs,2014-01-08,0,0
Hyundai,Santa Fe,2011,6998,Electrical System Repairs,2011-12-27,1,1
Hyundai,Elantra,2015,4677,Transmission Diagnostics/Repair/Replacement,2015-11-08,1,0
Chevrolet,Traverse,2017,3598,Engine Diagnostics/Repair/Replacement,2023-08-27,1,1
Volkswagen,Jetta,2019,2768,Transmission Diagnostics/Repair/Replacement,2022-04-24,0,0
Audi,A6,2013,5551,Routine Maintenance Services,2022-05-23,1,1
Ford,F-150,2011,6966,Electrical System Repairs,2016-03-01,0,0
Nissan,Altima,2012,6450,Transmission Diagnostics/Repair/Replacement,2012-04-24,1,0
Toyota,Prius,2014,5355,Transmission Diagnostics/Repair/Replacement,2014-01-03,0,1
BMW,5 Series,2017,3573,Routine Maintenance Services,2019-07-08,0,1
Honda,CR-V,2014,5083,Routine Maintenance Services,2021-09-23,0,0
Ford,Explorer,2016,4478,Transmission Diagnostics/Repair/Replacement,2020-02-19,0,0
Mercedes-Benz,E-Class,2010,7028,Wear-and-Tear Replacements,2017-10-12,0,0
Mercedes-Benz,C-Class,2017,3657,Brake System Repairs,2019-09-09,0,1
Hyundai,Tucson,2011,6538,Suspension System Repairs,2017-08-06,0,1
Audi,A6,2012,6188,Wear-and-Tear Replacements,2019-06-06,1,1
Ford,Focus,2010,7492,Multiple Unscheduled Repairs,2019-12-10,0,1
Nissan,Altima,2020,2391,Electrical System Repairs,2020-08-05,0,1
Nissan,Pathfinder,2015,4754,Wear-and-Tear Replacements,2021-09-22,1,1
Ford,Focus,2011,6690,Transmission Diagnostics/Repair/Replacement,2018-10-22,0,0
Mercedes-Benz,GLE,2015,4628,Engine Diagnostics/Repair/Replacement,2018-09-13,1,1
Ford,Focus,2015,4876,Electrical System Repairs,2016-01-09,0,1
Nissan,Sentra,2014,5098,Transmission Diagnostics/Repair/Replacement,2017-08-21,1,0
Honda,Pilot,2016,4178,Brake System Repairs,2023-06-02,0,0
BMW,5 Series,2016,4491,Multiple Unscheduled Repairs,2021-04-25,1,0
BMW,X5,2012,6317,Brake System Repairs,2012-11-24,1,1
Mercedes-Benz,C-Class,2020,2176,Engine Diagnostics/Repair/Replacement,2023-12-08,0,1
Mercedes-Benz,C-Class,2011,6779,Electrical System Repairs,2023-09-21,0,1
Audi,A6,2019,2874,Cooling System Repairs,2019-06-22,1,1
Toyota,Rav4,2017,3689,Cooling System Repairs,2019-08-27,0,0
Mercedes-Benz,GLC,2014,5078,Wear-and-Tear Replacements,2016-02-15,1,0
Hyundai,Elantra,2010,7411,Wear-and-Tear Replacements,2013-10-25,0,1
Mercedes-Benz,E-Class,2011,6653,Electrical System Repairs,2020-02-14,0,0
Mercedes-Benz,GLE,2013,5947,Routine Maintenance Services,2016-06-03,0,0
Chevrolet,Silverado,2017,3831,Electrical System Repairs,2018-04-25,1,1
Hyundai,Tucson,2010,7124,Cooling System Repairs,2021-06-12,0,0
Mercedes-Benz,GLC,2019,2976,Routine Maintenance Services,2020-07-12,0,1
BMW,X5,2010,7459,Cooling System Repairs,2015-01-04,0,1
Hyundai,Santa Fe,2014,5244,Engine Diagnostics/Repair/Replacement,2015-02-26,0,1
Mercedes-Benz,C-Class,2013,5777,Engine Diagnostics/Repair/Replacement,2022-10-11,0,1
Nissan,Altima,2018,3038,Routine Maintenance Services,2021-02-06,0,1
Ford,Escape,2013,5886,Multiple Unscheduled Repairs,2015-12-03,1,0
Honda,Pilot,2014,5344,Wear-and-Tear Replacements,2021-04-18,1,1
Volkswagen,Jetta,2019,2935,Multiple Unscheduled Repairs,2022-08-04,0,1
Ford,F-150,2016,4006,Engine Diagnostics/Repair/Replacement,2017-12-06,1,1
BMW,3 Series,2011,6998,Cooling System Repairs,2021-04-12,1,1
Honda,Accord,2020,2262,Electrical System Repairs,2023-01-25,0,0
Honda,Pilot,2020,2054,Brake System Repairs,2021-10-06,0,0
BMW,X3,2010,7230,Cooling System Repairs,2013-07-17,1,1
Audi,Q5,2012,6259,Multiple Unscheduled Repairs,2020-12-18,1,1
Toyota,Camry,2014,5027,Electrical System Repairs,2020-10-02,0,1
Volkswagen,Tiguan,2012,6368,Engine Diagnostics/Repair/Replacement,2016-11-10,0,1
Ford,F-150,2015,4731,Wear-and-Tear Replacements,2019-08-27,0,1
Audi,A6,2017,3884,Electrical System Repairs,2023-03-07,0,0
Toyota,Corolla,2012,6175,Engine Diagnostics/Repair/Replacement,2016-08-27,1,1
BMW,X5,2015,4773,Suspension System Repairs,2022-05-12,1,0
Nissan,Sentra,2020,2450,Transmission Diagnostics/Repair/Replacement,2023-05-10,0,0
Volkswagen,Jetta,2013,5830,Wear-and-Tear Replacements,2022-11-13,1,0
Mercedes-Benz,GLE,2015,4557,Electrical System Repairs,2018-11-08,0,1
Chevrolet,Malibu,2015,4806,Engine Diagnostics/Repair/Replacement,2021-07-17,0,0
Chevrolet,Traverse,2020,2484,Electrical System Repairs,2020-05-29,0,0
BMW,X5,2016,4039,Transmission Diagnostics/Repair/Replacement,2022-08-19,0,0
Toyota,Camry,2015,4902,Electrical System Repairs,2019-12-21,1,0
Chevrolet,Silverado,2010,7154,Transmission Diagnostics/Repair/Replacement,2012-08-31,0,0
Toyota,Camry,2019,2892,Electrical System Repairs,2021-07-23,1,1
BMW,3 Series,2014,5170,Wear-and-Tear Replacements,2014-09-19,1,1
Volkswagen,Passat,2019,2697,Engine Diagnostics/Repair/Replacement,2023-02-05,0,1
Honda,Civic,2019,2948,Engine Diagnostics/Repair/Replacement,2021-07-09,1,0
Honda,Accord,2020,2009,Brake System Repairs,2022-11-28,0,1
Mercedes-Benz,GLC,2018,3430,Multiple Unscheduled Repairs,2022-05-01,1,1
Mercedes-Benz,E-Class,2020,2315,Electrical System Repairs,2023-07-15,0,1
Volkswagen,Tiguan,2013,5911,Electrical System Repairs,2019-09-13,1,1
Mercedes-Benz,E-Class,2015,4559,Electrical System Repairs,2023-03-26,1,1
BMW,5 Series,2018,3115,Wear-and-Tear Replacements,2023-08-01,0,1
Toyota,Rav4,2019,2862,Transmission Diagnostics/Repair/Replacement,2023-04-09,0,0
Honda,Pilot,2014,5123,Electrical System Repairs,2019-09-24,1,1
BMW,X5,2015,4876,Wear-and-Tear Replacements,2018-03-01,0,0
Honda,CR-V,2016,4007,Multiple Unscheduled Repairs,2022-01-19,0,0
BMW,5 Series,2017,3876,Suspension System Repairs,2023-06-20,0,0
Ford,Escape,2019,2984,Transmission Diagnostics/Repair/Replacement,2020-03-24,0,0
Ford,Escape,2011,6858,Cooling System Repairs,2020-08-17,0,0
Toyota,Rav4,2010,7364,Routine Maintenance Services,2014-11-20,0,1
Audi,A4,2016,4398,Routine Maintenance Services,2020-08-08,1,0
Ford,F-150,2012,6130,Engine Diagnostics/Repair/Replacement,2013-09-26,1,1
Mercedes-Benz,GLC,2010,7382,Engine Diagnostics/Repair/Replacement,2012-11-09,0,0
Audi,Q5,2020,2416,Brake System Repairs,2022-06-12,0,0
Honda,Civic,2015,4543,Wear-and-Tear Replacements,2021-08-10,0,1
BMW,5 Series,2020,2463,Suspension System Repairs,2020-02-15,0,0
Audi,A4,2013,5678,Suspension System Repairs,2019-06-12,1,0
Nissan,Rogue,2020,2366,Suspension System Repairs,2023-08-30,1,1
Ford,Focus,2020,2327,Cooling System Repairs,2020-02-23,0,0
Audi,Q5,2017,3892,Cooling System Repairs,2022-10-11,0,0
Ford,Explorer,2012,6093,Engine Diagnostics/Repair/Replacement,2014-02-21,1,1
Audi,A4,2015,4582,Engine Diagnostics/Repair/Replacement,2019-12-25,0,0
Chevrolet,Malibu,2011,6822,Cooling System Repairs,2013-12-09,0,0
BMW,X3,2020,2372,Routine Maintenance Services,2020-04-17,1,1
BMW,X3,2012,6436,Suspension System Repairs,2020-08-21,1,0
Chevrolet,Traverse,2010,7381,Suspension System Repairs,2023-10-04,0,0
Toyota,Prius,2013,5840,Suspension System Repairs,2018-10-16,0,1
Chevrolet,Equinox,2015,4968,Engine Diagnostics/Repair/Replacement,2016-03-20,1,0
Chevrolet,Traverse,2013,5715,Brake System Repairs,2023-07-27,1,1
Volkswagen,Tiguan,2011,6957,Wear-and-Tear Replacements,2013-05-14,1,1
Audi,A4,2014,5489,Cooling System Repairs,2022-09-02,0,0
Audi,Q7,2012,6044,Transmission Diagnostics/Repair/Replacement,2018-08-17,0,1
Volkswagen,Tiguan,2010,7487,Wear-and-Tear Replacements,2023-02-15,0,0
Honda,Pilot,2014,5263,Suspension System Repairs,2020-07-29,0,1
Honda,Civic,2010,7212,Wear-and-Tear Replacements,2019-07-22,1,1
Audi,Q5,2020,2341,Wear-and-Tear Replacements,2022-07-29,1,0
Volkswagen,Passat,2013,5592,Cooling System Repairs,2021-07-15,1,1
BMW,5 Series,2020,2301,Transmission Diagnostics/Repair/Replacement,2020-12-28,1,0
Audi,A6,2019,2712,Transmission Diagnostics/Repair/Replacement,2022-12-14,0,0
Toyota,Corolla,2019,2802,Routine Maintenance Services,2023-04-29,1,0
Chevrolet,Malibu,2020,2465,Brake System Repairs,2022-12-11,0,0
BMW,3 Series,2017,3924,Multiple Unscheduled Repairs,2021-03-03,1,0
Honda,Accord,2014,5120,Engine Diagnostics/Repair/Replacement,2020-05-18,1,1
Honda,Civic,2019,2965,Brake System Repairs,2020-11-22,0,1
Mercedes-Benz,E-Class,2017,3963,Suspension System Repairs,2023-12-22,0,1
BMW,5 Series,2010,7292,Electrical System Repairs,2021-04-30,0,0
Hyundai,Santa Fe,2015,4823,Wear-and-Tear Replacements,2022-05-25,1,1
Chevrolet,Malibu,2014,5411,Cooling System Repairs,2015-01-06,1,1
Ford,F-150,2017,3621,Suspension System Repairs,2017-12-24,0,0
Toyota,Camry,2011,6885,Routine Maintenance Services,2019-10-21,1,1
Hyundai,Elantra,2020,2403,Engine Diagnostics/Repair/Replacement,2021-12-25,0,1
Audi,A6,2016,4009,Multiple Unscheduled Repairs,2018-05-25,0,0
Mercedes-Benz,E-Class,2018,3121,Multiple Unscheduled Repairs,2022-11-21,1,1
Audi,Q5,2013,5554,Cooling System Repairs,2014-03-02,0,1
BMW,X3,2018,3494,Multiple Unscheduled Repairs,2022-06-01,1,1
Nissan,Rogue,2010,7293,Electrical System Repairs,2013-02-13,1,0
Nissan,Pathfinder,2010,7471,Routine Maintenance Services,2022-12-24,0,0
Nissan,Sentra,2014,5011,Suspension System Repairs,2017-11-11,0,1
Ford,Focus,2017,3672,Routine Maintenance Services,2017-05-06,1,1
Chevrolet,Malibu,2016,4282,Engine Diagnostics/Repair/Replacement,2016-05-24,1,1
Honda,Civic,2012,6148,Suspension System Repairs,2017-04-11,1,0
Audi,A6,2013,5849,Suspension System Repairs,2022-06-30,0,0
Chevrolet,Traverse,2020,2066,Multiple Unscheduled Repairs,2022-11-22,1,1
Audi,Q7,2018,3252,Routine Maintenance Services,2018-11-02,0,1
Ford,F-150,2011,6735,Brake System Repairs,2019-04-17,1,1
Ford,Focus,2012,6457,Multiple Unscheduled Repairs,2022-02-28,1,1
Audi,A4,2018,3288,Multiple Unscheduled Repairs,2023-11-19,0,0
Mercedes-Benz,GLE,2016,4421,Routine Maintenance Services,2021-02-26,0,1
Audi,A4,2018,3452,Engine Diagnostics/Repair/Replacement,2023-08-09,1,1
Hyundai,Elantra,2019,2750,Brake System Repairs,2023-09-25,0,0
Ford,Focus,2020,2064,Brake System Repairs,2021-09-17,0,1
Volkswagen,Tiguan,2011,6773,Wear-and-Tear Replacements,2020-09-09,0,0
Volkswagen,Atlas,2015,4503,Cooling System Repairs,2019-03-08,1,1
Toyota,Prius,2016,4202,Wear-and-Tear Replacements,2021-05-13,1,1
Honda,Civic,2018,3312,Multiple Unscheduled Repairs,2022-07-08,0,1
Ford,Explorer,2016,4187,Suspension System Repairs,2016-12-29,1,1
Mercedes-Benz,GLC,2019,2820,Routine Maintenance Services,2023-12-16,1,1
Nissan,Sentra,2011,6610,Engine Diagnostics/Repair/Replacement,2013-08-16,1,0
Chevrolet,Traverse,2011,6577,Multiple Unscheduled Repairs,2013-02-24,1,0
Nissan,Rogue,2011,6681,Transmission Diagnostics/Repair/Replacement,2021-08-04,1,1
Ford,Explorer,2011,6820,Brake System Repairs,2019-03-26,1,0
Volkswagen,Atlas,2016,4303,Suspension System Repairs,2016-10-10,0,1
Volkswagen,Passat,2017,3742,Engine Diagnostics/Repair/Replacement,2021-10-02,1,0
Hyundai,Sonata,2020,2029,Engine Diagnostics/Repair/Replacement,2020-07-19,1,1
Chevrolet,Malibu,2015,4753,Routine Maintenance Services,2017-05-24,0,1
BMW,X5,2010,7353,Brake System Repairs,2021-02-28,1,1
Volkswagen,Jetta,2018,3095,Multiple Unscheduled Repairs,2018-12-17,0,0
Honda,Accord,2010,7324,Engine Diagnostics/Repair/Replacement,2020-04-19,1,1
Chevrolet,Equinox,2012,6040,Suspension System Repairs,2023-04-13,0,1
Mercedes-Benz,C-Class,2014,5247,Cooling System Repairs,2017-07-30,1,0
Mercedes-Benz,C-Class,2013,5656,Electrical System Repairs,2019-04-14,0,1
BMW,X5,2018,3151,Wear-and-Tear Replacements,2023-09-03,0,1
Mercedes-Benz,GLE,2010,7268,Transmission Diagnostics/Repair/Replacement,2015-06-20,0,0
Honda,Civic,2012,6270,Electrical System Repairs,2014-10-16,1,0
Hyundai,Elantra,2012,6353,Suspension System Repairs,2015-04-25,1,0
Nissan,Altima,2013,5817,Brake System Repairs,2021-05-20,0,0
BMW,5 Series,2012,6214,Brake System Repairs,2020-08-06,0,0
Chevrolet,Equinox,2011,6675,Wear-and-Tear Replacements,2020-02-20,0,0
Honda,CR-V,2017,3815,Transmission Diagnostics/Repair/Replacement,2020-09-16,1,1
Toyota,Camry,2015,4700,Multiple Unscheduled Repairs,2019-10-25,0,1
Honda,Accord,2013,5885,Brake System Repairs,2016-01-03,1,0
Nissan,Altima,2011,6696,Engine Diagnostics/Repair/Replacement,2013-07-01,0,1
Hyundai,Elantra,2013,5558,Wear-and-Tear Replacements,2021-12-19,1,1
Toyota,Prius,2019,2714,Brake System Repairs,2021-11-30,1,0
Hyundai,Elantra,2016,4428,Routine Maintenance Services,2022-06-30,1,1
BMW,X5,2016,4062,Cooling System Repairs,2019-03-23,0,1
Honda,Pilot,2020,2037,Electrical System Repairs,2020-07-07,0,1
Nissan,Sentra,2012,6498,Cooling System Repairs,2019-04-07,0,0
Toyota,Camry,2016,4007,Cooling System Repairs,2018-11-21,0,0
Toyota,Corolla,2016,4042,Wear-and-Tear Replacements,2018-11-14,0,0
Chevrolet,Silverado,2019,2501,Multiple Unscheduled Repairs,2022-03-26,0,1
Ford,Escape,2012,6064,Wear-and-Tear Replacements,2021-05-04,0,1
Honda,Accord,2011,6519,Electrical System Repairs,2020-09-08,1,0
BMW,X5,2016,4000,Multiple Unscheduled Repairs,2021-12-07,1,0
Ford,Explorer,2016,4248,Suspension System Repairs,2019-09-11,0,1
Mercedes-Benz,GLE,2016,4153,Engine Diagnostics/Repair/Replacement,2023-05-22,0,1
Toyota,Rav4,2010,7136,Engine Diagnostics/Repair/Replacement,2020-01-21,1,1
BMW,5 Series,2010,7449,Wear-and-Tear Replacements,2010-05-10,0,1
BMW,X3,2010,7449,Cooling System Repairs,2018-11-10,0,0
BMW,X5,2012,6101,Brake System Repairs,2014-02-14,0,1
Toyota,Rav4,2017,3685,Engine Diagnostics/Repair/Replacement,2018-07-13,1,1
Mercedes-Benz,C-Class,2015,4921,Engine Diagnostics/Repair/Replacement,2015-09-21,1,1
Chevrolet,Silverado,2017,3725,Electrical System Repairs,2018-03-04,0,0
Mercedes-Benz,GLC,2019,2691,Electrical System Repairs,2019-06-16,0,0
Mercedes-Benz,C-Class,2020,2017,Electrical System Repairs,2020-10-24,1,0
Hyundai,Sonata,2012,6445,Electrical System Repairs,2019-01-01,1,0
Nissan,Rogue,2014,5409,Wear-and-Tear Replacements,2021-08-04,1,1
BMW,X3,2012,6255,Routine Maintenance Services,2012-08-12,0,0
Ford,Explorer,2019,2768,Engine Diagnostics/Repair/Replacement,2023-04-12,0,0
Audi,A4,2017,3500,Electrical System Repairs,2021-12-16,1,1
Hyundai,Sonata,2013,5805,Multiple Unscheduled Repairs,2018-12-10,1,0
Ford,Explorer,2018,3467,Suspension System Repairs,2019-12-19,0,0
Nissan,Sentra,2011,6794,Cooling System Repairs,2019-05-20,1,0
Nissan,Altima,2020,2350,Transmission Diagnostics/Repair/Replacement,2020-11-18,1,1
BMW,5 Series,2010,7033,Multiple Unscheduled Repairs,2022-06-11,1,1
Chevrolet,Malibu,2011,6516,Cooling System Repairs,2022-12-13,1,0
Mercedes-Benz,C-Class,2016,4392,Transmission Diagnostics/Repair/Replacement,2021-09-07,0,0
Volkswagen,Tiguan,2014,5455,Suspension System Repairs,2019-11-23,1,1
Audi,Q7,2015,4511,Wear-and-Tear Replacements,2018-05-03,1,1
Volkswagen,Tiguan,2011,6858,Suspension System Repairs,2023-12-15,0,1
Toyota,Prius,2015,4890,Electrical System Repairs,2015-08-03,0,1
Hyundai,Santa Fe,2013,5857,Wear-and-Tear Replacements,2021-01-31,1,0
Mercedes-Benz,E-Class,2018,3392,Electrical System Repairs,2022-06-10,1,0
Nissan,Rogue,2013,5718,Cooling System Repairs,2015-05-25,1,1
Toyota,Corolla,2017,3810,Wear-and-Tear Replacements,2017-05-21,1,0
Nissan,Sentra,2019,2773,Routine Maintenance Services,2020-06-11,1,1
